Correct name with authors,Family,Order,Superorder,"Group (Dicot, Monocot, Gymnosperm, Fern)",Sample reference code,"Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)",Nearctic,Neotropic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Number of Biogeographic Realms,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Coniferous Forests,Temperate Broadleaf and Mixed Forests,Temperate Coniferous Forests,Boreal Forests/Taiga,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands",Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tundra,"Mediterranean Forests, Woodlands, and Scrub",Deserts and Xeric Shrublands,Mangroves,Number of Biomes,C (%),S (%),R (%)
Crepis aurea (L.) Cass. aurea,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.32,27.32,54.36
Crepis capillaris (L.) Wallr.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,36.33,0.00,63.67
Crepis foetida L.,Asteraceae,Asterales,Asteranae,Dicot,Díaz,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,5,39.12,0.00,60.88
Crepis froelichiana DC.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,37.29,17.77,44.93
Crepis glabra Boiss.,Asteraceae,Asterales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,42.89,0.00,57.11
Crepis jacquinii Tausch kerneri (Rech. f.) Merxm.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.29,59.53,23.19
Crepis pyrenaica Greuter,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,44.68,11.94,43.38
Crepis setosa Haller f.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,49.04,0.00,50.96
Crepis tectorum L.,Asteraceae,Asterales,Asteranae,Dicot,Weiher,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,21.31,0.00,78.69
Crepis vesicaria L. taraxacifolia (Thuill.) Thell.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,53.59,0.00,46.41
Crotalaria sagittalis L.,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,shrub,1,1,0,0,0,0,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,7,6.11,85.29,8.61
Croton argyratus Blume  ,Euphorbiaceae,Malpighiales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,33.98,66.02,0.00
Croton billbergianus Müll. Arg.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,59.04,23.93,17.03
Croton capitatus Michx.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Weiher,perennial,forb,1,1,0,0,0,0,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5,12.72,77.22,10.06
Cruciata glabra (L.) Ehrend. glabra,Rubiaceae,Gentianales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4.16,15.47,80.37
Cruciata laevipes Opiz,Rubiaceae,Gentianales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5,0.04,44.17,55.79
Cucurbita pepo L.,Cucurbitaceae,Cucurbitales,Rosanae,Dicot,Kleyer,annual,herbaceous vine,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,86.30,0.00,13.70
Cupania cinerea Poepp.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,76.57,21.50,1.93
Cupania impressinervia Acev.-Rodr.,Sapindaceae,Sapindales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.57,43.23,9.20
Cupania latifolia Kunth,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,71.91,26.96,1.13
Cupania rufescens Triana & Planch.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,75.53,22.23,2.23
Cupania seemannii Triana & Planch.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.78,25.37,5.85
Cuphea ericoides Cham. & Schltdl. var. ericoides,Lythraceae,Myrtales,Rosanae,Dicot,Negreiros,perennial,shrub,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.00,100.00,0.00
Curatella americana L.,Dilleniaceae,Dilleniales,Dillenianae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,63.18,36.82,0.00
Cyanus segetum Hill,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,21.91,0.00,78.09
Cyanus triumfetti (All.) Dostál ex A. & D. Löve,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,45.25,0.00,54.75
Cyclamen purpurascens Mill. ,Primulaceae,Ericales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,40.58,0.00,59.42
Cydista aequinoctialis (L.) Miers,Bignoniaceae,Lamiales,Asteranae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5,46.11,51.14,2.74
"Cymbalaria muralis G. Gaertn., B. Mey. & Scherb. muralis",Plantaginaceae,Lamiales,Asteranae,Dicot,Cerabolini,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,18.88,0.00,81.12
Cynanchum nigrum Cav.,Apocynaceae,Gentianales,Asteranae,Dicot,Siefert,perennial,liana,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,7,29.49,37.44,33.07
Cynodon dactylon (L.) Pers.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,1,1,0,6,11.97,41.52,46.51
Cynoglossum officinale L.,Boraginaceae,Boraginales,Asteranae,Dicot,Kleyer,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,45.44,0.00,54.56
Cynometra malaccensis Meeuwen  ,Fabaceae,Fabales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.40,36.60,0.00
Cynosurus cristatus L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,15.05,42.12,42.83
Cyperus difformis L.,Cyperaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,annual,graminoid,0,0,1,1,1,1,0,4,1,1,0,1,1,0,1,1,1,1,0,1,1,1,11,32.75,0.00,67.25
Cyperus flavescens L.,Cyperaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,11.54,0.00,88.46
Cyperus fuscus L.,Cyperaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4,10.82,0.00,89.18
Cyperus longus L.,Cyperaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,1,0,6,30.45,29.99,39.56
Cyrtomium fortunei J. Sm.,Dryopteridaceae,Polypodiales,,Fern,Cerabolini,perennial,forb,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,79.48,0.00,20.52
Cyrtopodium parviflorum Lindl.,Orchidaceae,Asparagales,Lilianae,Monocot,Negreiros,perennial,forb,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,43.99,43.63,12.38
Cystopteris fragilis (L.) Bernh.,Cystopteridaceae,Polypodiales,,Fern,Cerabolini,perennial,forb,1,1,1,1,1,1,0,6,1,1,1,1,1,1,0,1,0,1,1,1,1,0,11,31.12,0.00,68.88
Cytisophyllum sessilifolius (L.) O. Lang,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,13.66,44.27,42.07
Cytisus emeriflorus Rchb.,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.29,48.61,42.10
Cytisus hirsutus L. hirsutus,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,27.91,10.11,61.98
Cytisus nigricans L. nigricans,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,13.93,59.36,26.70
Cytisus purpureus Scop.,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,10.81,50.36,38.83
Cytisus scoparius (L.) Link,Fabaceae,Fabales,Rosanae,Dicot,Cornelissen,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0.00,84.50,15.50
Dacryodes laxa (A.W. Benn.) H.J. Lam  ,Burseraceae,Sapindales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.08,43.92,0.00
Dacryodes rostrata (Blume) H.J. Lam  ,Burseraceae,Sapindales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.74,60.26,0.00
Dacryodes rugosa H.J. Lam  ,Burseraceae,Sapindales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.01,52.99,0.00
Dactylis glomerata L. glomerata,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,43.70,27.94,28.36
Dactylorhiza euxina (Nevski) H. Baumann & Künkele,Orchidaceae,Asparagales,Lilianae,Monocot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,35.33,0.00,64.67
Dactylorhiza incarnata (L.) Soó,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,58.16,0.00,41.84
Dactylorhiza maculata (L.) Soó,Orchidaceae,Asparagales,Lilianae,Monocot,Wright,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,49.80,0.00,50.20
Dactylorhiza sambucina (L.) Soó,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,40.29,0.00,59.71
Dactylorhiza sphagnicola (Höppner) Aver.,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,51.08,0.00,48.92
Dactylorhiza traunsteineri (Saut. ex Rchb. f.) Soó,Orchidaceae,Asparagales,Lilianae,Monocot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,33.82,0.00,66.18
Dalea candida Willd.,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,shrub,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,6,15.42,79.79,4.79
Dalea polygonoides A. Gray,Fabaceae,Fabales,Rosanae,Dicot,Laughlin,annual,forb,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,19.68,38.48,41.84
Dalea purpurea Vent.,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,5,4.98,83.24,11.78
Danthonia decumbens (L.) DC. decumbens,Poaceae,Poales,Lilianae,Monocot,Cerabolini,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,13.23,76.03,10.74
Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.,Poaceae,Poales,Lilianae,Monocot,Shipley,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,5,18.64,77.19,4.17
Daphne cneorum L.,Thymelaeaceae,Malvales,Rosanae,Dicot,Cerabolini,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3.19,71.30,25.51
Daphne gnidium L. ,Thymelaeaceae,Malvales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,8.47,52.80,38.73
Daphne laureola L.,Thymelaeaceae,Malvales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,43.70,48.96,7.34
Daphne mezereum L.,Thymelaeaceae,Malvales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,31.97,8.05,59.98
Datura stramonium L.,Solanaceae,Solanales,Asteranae,Dicot,Kleyer,annual,forb,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,72.62,0.00,27.38
Daucus carota L.,Apiaceae,Apiales,Asteranae,Dicot,Shipley,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,29.20,41.31,29.49
Davilla nitida (Vahl) Kubitzk,Dilleniaceae,Dilleniales,Dillenianae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,39.35,48.70,11.95
Declieuxia fruticosa (Willd. ex Roem. & Schult.) Kuntze,Rubiaceae,Gentianales,Asteranae,Dicot,Negreiros,perennial,shrub,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,6,20.37,79.63,0.00
Dendropanax arboreus (L.) Decne. & Planch.,Araliaceae,Apiales,Asteranae,Dicot,Wright,perennial,shrub,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,57.18,34.89,7.93
Dennstaedtia punctilobula (Michx.) T. Moore,Dennstaedtiaceae,Polypodiales,,Fern,Siefert,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,22.71,31.47,45.81
Deschampsia cespitosa (L.) P. Beauv.,Poaceae,Poales,Lilianae,Monocot,Soudzilovskaia,perennial,graminoid,1,0,1,0,1,0,0,3,1,0,0,1,1,1,0,1,0,1,1,1,1,0,9,13.46,66.47,20.07
Deschampsia flexuosa (L.) Trin.,Poaceae,Poales,Lilianae,Monocot,Wright,perennial,graminoid,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,1.66,68.15,30.18
Deschampsia setacea (Huds.) Hack.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.00,71.04,28.96
Descurainia sophia (L.) Webb ex Prantl,Brassicaceae,Brassicales,Rosanae,Dicot,Kleyer,biennial,forb,0,0,1,0,1,0,0,2,0,0,1,1,1,1,0,0,0,1,1,1,1,0,8,31.13,1.00,67.87
Desmanthus illinoensis (Michx.) MacMill. ex B.L. Rob. & Fernald,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,shrub,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,6,8.63,72.35,19.02
Desmazeria rigida (L.) Tutin,Poaceae,Poales,Lilianae,Monocot,Wright,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0.14,60.52,39.35
Desmodium canadense (L.) DC.,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,27.26,47.32,25.42
Desmodium ciliare (Muhl. ex Willd.) DC.,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,7.86,82.65,9.49
Desmodium illinoense A. Gray,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,36.58,40.60,22.82
Desmopsis panamensis (B.L. Rob.) Saff.,Annonaceae,Magnoliales,Magnolianae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.69,38.82,14.50
Deutzia crenata Siebold & Zuccarini,Hydrangeaceae,Cornales,Asteranae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36.70,44.37,18.93
Dialium guianense (Aubl.) Sandwith,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,32.76,34.92,32.32
Dialium platysepalum Baker  ,Fabaceae,Fabales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.80,53.80,4.40
Dianthus armeria L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,24.35,28.96,46.68
Dianthus barbatus L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,36.17,33.66,30.17
Dianthus carthusianorum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,16.15,61.42,22.44
Dianthus gratianopolitanus Vill.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,6.65,57.25,36.10
Dianthus seguieri Vill.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,10.14,64.98,24.87
Dianthus superbus L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,perennial,forb,0,0,1,0,1,0,0,2,1,0,0,1,1,1,0,0,0,0,1,1,0,0,6,19.61,22.26,58.12
Dianthus sylvestris Wulfen,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,15.03,84.97,0.00
Diapensia lapponica L.,Diapensiaceae,Ericales,Asteranae,Dicot,Kleyer,perennial,forb,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0.00,100.00,0.00
Dichanthelium ensifolium (Baldwin ex Elliott) Gould,Poaceae,Poales,Lilianae,Monocot,Weiher,perennial,graminoid,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8.67,42.07,49.26
Dichanthelium linearifolium (Scribn.) Gould,Poaceae,Poales,Lilianae,Monocot,Weiher,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,13.66,53.78,32.56
Dichanthelium oligosanthes (Schult.) Gould,Poaceae,Poales,Lilianae,Monocot,Weiher,perennial,graminoid,1,1,0,0,0,0,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,5,14.42,48.82,36.76
Dichanthium ischaemum (L.) Roberty,Poaceae,Poales,Lilianae,Monocot,Wright,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,9.37,50.34,40.29
Dictamnus albus L.,Rutaceae,Sapindales,Rosanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,53.99,35.43,10.58
Digitalis grandiflora Mill.,Plantaginaceae,Lamiales,Asteranae,Dicot,Kleyer,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,50.93,7.72,41.35
Digitalis lutea L.,Plantaginaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,57.64,3.09,39.28
Digitaria ischaemum (Schreb.) Muhl.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,9.51,3.65,86.84
Digitaria milanjiana (Rendle) Stapf,Poaceae,Poales,Lilianae,Monocot,Buffa/Nyakunga,perennial,graminoid,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,5,34.95,30.20,34.84
Digitaria sanguinalis (L.) Scop.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,annual,graminoid,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,1,0,1,1,0,6,38.73,0.00,61.27
Diospyros apiculata Hiern  ,Ebenaceae,Ericales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,40.42,54.57,5.01
Diospyros artanthifolia Mart.,Ebenaceae,Ericales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,36.12,58.52,5.37
Diospyros lotus L.,Ebenaceae,Ericales,Asteranae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,5,44.66,52.44,2.90
Diospyros nutans King & Gamble  ,Ebenaceae,Ericales,Asteranae,Dicot,SJ Wright Pasoh,perennial,shrub,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.44,60.41,6.15
Diospyros scortechinii King & Gamble  ,Ebenaceae,Ericales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.78,71.40,1.82
Diospyros venosa Wall. ex A. DC.  ,Ebenaceae,Ericales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.19,67.79,0.02
Diospyros virginiana L.,Ebenaceae,Ericales,Asteranae,Dicot,Weiher,perennial,tree,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,5,12.77,80.64,6.59
Diphasiastrum alpinum (L.) Holub,Lycopodiaceae,Lycopodiales,,Fern,Kleyer,perennial,shrub,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,7.22,83.75,9.03
Diphasiastrum complanatum (L.) Holub,Lycopodiaceae,Lycopodiales,,Fern,Kleyer,perennial,shrub,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,12.07,87.93,0.00
Diplospora malaccensis Hook. f.  ,Rubiaceae,Gentianales,Asteranae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.85,38.42,1.73
Diplotaxis muralis (L.) DC.,Brassicaceae,Brassicales,Rosanae,Dicot,Kleyer,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,39.24,0.00,60.76
Diplusodon orbicularis Koehne,Lythraceae,Myrtales,Rosanae,Dicot,Negreiros,perennial,shrub,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.54,95.46,0.00
Dipsacus pilosus L.,Caprifoliaceae,Dipsacales,Asteranae,Dicot,Kleyer,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56.10,0.00,43.90
Dipsacus strigosus Willd. ex Roem. & Schult.,Caprifoliaceae,Dipsacales,Asteranae,Dicot,Kleyer,biennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,70.86,18.40,10.75
