id,latitude,longitude,FT,LA,LDMC,SLA,S,C,R,Strategy,color,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
6944,51.4083,-0.6383,28.5,296.2878041,71.67288205,86.4957611,0,11.44560145,88.55439855,R,#0D0143,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6945,52.24,4.45,64.25,481.720785,110.688781,37.69475516,0,22.24262899,77.75737101,R/CR,#290128,94,61,30,5241,206,3,203,108,47,161,31,781,87,44,21,243,146,205,185
6946,60.385543,6.193019,55.5,573.7768476,91.07567422,59.10790061,0,19.45540999,80.54459001,R/CR,#22012F,61,56,27,5312,173,-30,203,34,85,131,-3,2387,296,105,33,851,371,479,690
6951,49.42,16.36,57,559.3961054,93.44623577,53.00553186,0,20.16676677,79.83323323,R/CR,#23012E,77,87,30,7066,228,-56,284,164,-4,164,-17,592,84,27,41,240,85,240,89
6958,46,3.3,43.25,394.3418486,96.97913734,69.55829185,0,14.82868435,85.17131565,R,#16013B,106,104,39,5844,252,-13,265,163,43,181,31,699,85,40,26,223,125,219,132
6959,48.5,-1.41,59.25,511.8711675,97.19344727,45.64712961,0,20.7151192,79.2848808,R/CR,#25012C,111,78,38,4584,223,22,201,62,102,169,53,744,85,47,18,234,157,158,210
6960,48.5,-1.41,27.25,166.3606552,81.37375451,90.16370042,0,7.589664927,92.41033507,R,#03014D,111,78,38,4584,223,22,201,62,102,169,53,744,85,47,18,234,157,158,210
6961,38.3333,-3.53333,52.25,539.1583198,88.96463356,55.26565416,0,19.41793808,80.58206192,R/CR,#22012F,155,119,37,6833,344,23,321,107,247,247,73,483,67,5,48,178,31,31,158
6962,38.35,68.48,45,505.8657659,83.67555116,52.0522301,0,19.31697496,80.68302504,R/CR,#210130,152,131,35,8357,355,-16,371,101,245,259,42,480,102,0,80,245,3,5,177
6963,38.35,68.48,64,597.3727028,108.5204627,34.73387082,0,25.86095388,74.13904612,R/CR,#32011F,152,131,35,8357,355,-16,371,101,245,259,42,480,102,0,80,245,3,5,177
6965,58.4168,14.1612,110.2086316,233.4657412,210.5971803,26.08504617,29.32526086,13.55596138,57.11877776,R/CSR,#13210F,59,81,28,6967,211,-69,280,139,1,150,-29,613,70,31,27,207,99,188,124
6966,51.4083,-0.6383,50,487.8347351,89.56038285,46.32000963,0,20.06299971,79.93700029,R/CR,#23012E,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6967,51.4083,-0.6383,33.25,223.6830571,89.11323279,74.65389241,0,10.13519765,89.86480235,R,#0A0146,98,79,34,5256,225,-4,229,40,61,166,31,707,72,43,15,210,152,160,184
6970,41.7194,2.93056,50.5,498.8570352,91.30237988,56.57653212,0,18.45378891,81.54621109,R/CR,#1F0132,155,70,31,5240,272,52,220,166,223,224,91,684,107,26,33,238,121,151,150
6971,41.7194,2.93056,57.75,587.9755522,113.3994829,37.79942611,0,24.48181152,75.51818848,R/CR,#2E0123,155,70,31,5240,272,52,220,166,223,224,91,684,107,26,33,238,121,151,150
6973,56.0648,13.9707,35,361.4375149,87.24450504,78.63251485,0,13.4063076,86.5936924,R,#12013F,76,61,26,6235,204,-30,234,152,22,158,1,640,71,36,21,198,113,185,151
6975,48.3,14.45,52.25,588.4657523,79.87038436,53.83289462,0,20.5412194,79.4587806,R/CR,#24012D,85,101,33,7220,247,-53,300,177,3,177,-10,862,117,45,34,327,152,327,158
6976,48.3,14.45,66.25,470.3670348,129.0088365,37.36231857,0,22.08720869,77.91279131,R/CR,#280129,85,101,33,7220,247,-53,300,177,3,177,-10,862,117,45,34,327,152,327,158
6977,49.2655,-123.206,28.5,251.0574717,82.69496387,82.62436279,0,10.48826222,89.51173778,R,#0B0145,99,77,34,5230,224,0,224,40,167,167,34,1240,192,35,52,540,127,127,496
6979,47.25,8.26,25,NA,#VALUE!,NA,NA,NA,NA,#VALUE!,#362756,78,75,30,6129,214,-34,248,156,10,156,-1,1202,146,74,25,418,231,418,236
6980,52.3,30,51.75,602.2351351,117.1778248,42.9802268,0,23.14494201,76.85505799,R/CR,#2B0126,66,86,25,9071,241,-101,342,178,-44,178,-53,623,87,30,35,241,99,241,111
