id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
8420,Kelsterbach-4,GER,50.0667,8.5333,93,NA,0.0119746,-0.0135747,0.0101689,CEurope,NA,NA
8422,FjÌ_1-1,SWE,56.06,14.29,32,NA,0.012255,-0.00685611,-0.00855494,SESweden,NA,NA
8426,Ull1-1,SWE,56.06,13.97,33,NA,0.0127364,-0.00642297,0.000148728,SESweden,NA,NA
8427,Ull2-13,SWE,56.0648,13.9707,33,NA,0.0122788,-0.00568298,-0.00404284,SESweden,NA,NA
9027,RMX413.85,USA,42.036,-86.511,194,NA,0.0116066,-0.0235773,0.000134265,NEEurope,NA,NA
9057,VinslÌ¦v,SWE,56.1,13.9167,30,0.000406654,0.0125954,-0.00442351,-0.00736468,SESweden,0.166666667,1
9058,VÌ_stervik,SWE,57.75,16.6333,12,0.000305518,0.0075661,0.00668787,-0.0329033,SESweden,0.333333333,0.857142857
9069,Xan-5,AZE,38.6536,48.7992,46,NA,0.00409818,-0.0333434,0.081594,SMediter,NA,NA
9070,Xan-6,AZE,38.6536,48.7992,46,NA,0.00343968,-0.0327779,0.0806921,SMediter,NA,NA
9075,Lerik1-4,AZE,38.7406,48.6131,425,NA,0.00392141,-0.0294518,0.0763885,SMediter,NA,NA
9078,Lerik1-7,AZE,38.7406,48.6131,425,NA,0.00231374,-0.0341664,0.0826583,SMediter,NA,NA
9079,Lerik2-1,AZE,38.7833,48.5517,472,NA,0.0023864,-0.0286214,0.0720777,SMediter,NA,NA
9081,Lerik2-3,AZE,38.7833,48.5517,472,NA,0.00398786,-0.030894,0.0764082,SMediter,NA,NA
9089,Nar-3,AZE,38.9522,48.925,-28,NA,0.00387654,-0.028832,0.065916,SMediter,NA,NA
9091,Nar-5,AZE,38.9522,48.925,-28,NA,0.00286762,-0.0275551,0.0684885,SMediter,NA,NA
9095,Istisu-5,AZE,38.9786,48.5594,78,NA,0.00154502,-0.0293349,0.0708196,SMediter,NA,NA
9099,Istisu-9,AZE,38.9786,48.5594,78,NA,0.0033149,-0.0261566,0.0681214,SMediter,NA,NA
9102,Lag1-4,GEO,41.8296,46.2831,488,NA,0.00622111,-0.022869,0.057494,SMediter,NA,NA
9103,Lag1-5,GEO,41.8296,46.2831,488,NA,0.00476968,-0.0190554,0.0586196,SMediter,NA,NA
9104,Lag1-6,GEO,41.8296,46.2831,488,NA,0.00613178,-0.0236135,0.0578807,SMediter,NA,NA
9106,Lag1-8,GEO,41.8296,46.2831,488,NA,0.00474887,-0.0207091,0.0559212,SMediter,NA,NA
9111,Lag2-4,GEO,41.8296,46.2831,488,NA,0.00371332,-0.0219493,0.0635027,SMediter,NA,NA
9121,Bak-5,GEO,41.7942,43.4767,1029,NA,-0.00195986,-0.00497776,0.0335795,SMediter,NA,NA
9125,Geg-14,ARM,40.1408,44.8203,1901,NA,0.00817216,0.0906164,0.0398434,Asia,NA,NA
9298,Edinburgh-1,UK,55.9681,-3.21833,35,NA,0.00975453,-0.0273739,0.00281714,NEEurope,NA,NA
9314,Gol-2,UK,57.9672,-3.96722,101,NA,0.0105832,-0.0253319,0.00416742,NEEurope,NA,NA
9321,ÌÉdal,SWE,62.8622,18.336,68,NA,0.00472697,0.0547284,-0.137272,NSweden,NA,NA
9323,ÌÉdal,SWE,62.8622,18.336,68,NA,0.00592724,0.0533031,-0.128264,NSweden,NA,NA
9332,Bar,SWE,62.8698,18.381,44,NA,0.00608134,0.0492236,-0.121281,NSweden,NA,NA
9336,BÌ¦n,SWE,62.8794,18.4473,1,NA,0.00771868,0.0152563,-0.0566243,SESweden,NA,NA
9339,BÌ¦t,SWE,57.7133,15.0689,324,NA,0.00984847,0.00249724,-0.00846866,SESweden,NA,NA
9343,Dja,SWE,57.3089,18.1512,20,NA,0.00647872,0.00360582,-0.0340773,SESweden,NA,NA
9363,EdJ,SWE,62.9147,18.4045,1,NA,0.00603777,0.0507541,-0.125739,NSweden,NA,NA
9369,EkS,SWE,57.6781,14.9986,214,NA,0.0101288,0.00693523,-0.00930401,SESweden,NA,NA
9370,EkS,SWE,57.6781,14.9986,214,NA,0.0101647,0.0153942,-0.00865114,SESweden,NA,NA
9371,FÌ_L,SWE,63.016,18.3175,40,0.000158043,0.00513907,0.0615153,-0.122691,NSweden,0.333333333,0.857142857
9380,FlyA,SWE,55.7488,13.3742,17,NA,0.0130553,-0.0110465,-0.0300702,SWSweden,NA,NA
9381,Fri,SWE,55.8106,14.2091,2,NA,0.00654522,0.00558412,-0.0344813,SESweden,NA,NA
9382,Fri,SWE,55.8106,14.2091,2,NA,0.00704527,0.00769285,-0.036353,SESweden,NA,NA
9383,Fri,SWE,55.8106,14.2091,2,NA,0.00681055,0.00502632,-0.0326188,SESweden,NA,NA
9386,GrÌ¦n,SWE,62.806,18.1896,38,NA,0.00584327,0.045162,-0.11124,NSweden,NA,NA
9391,Had-2,SWE,57.3263,15.8979,96,NA,0.0108453,0.0126706,-0.00560326,SESweden,NA,NA
9394,Hag-2,SWE,56.5804,16.4063,10,0.000181095,0.00670131,0.000686571,-0.0274036,SESweden,0.5,0.857142857
9399,Ham-1,SWE,55.4234,13.9905,2,-5.04E-05,0.0120528,-0.00704013,-0.00780577,SESweden,0,1
9402,Hel-3,SWE,57.8765,14.8549,195,NA,0.009006,0.00606444,-0.0186096,SESweden,NA,NA
9404,HolA-1,SWE,55.7491,13.399,16,NA,0.0139121,-0.00710355,-0.0160621,SWSweden,NA,NA
9405,HolA-1,SWE,55.7491,13.399,16,NA,0.0136814,-0.00932459,-0.0250387,SWSweden,NA,NA
